รหัส,ที่มา,วันที่,โครงการ,ประเภท,ห้อง,ตรม.,ชั้น,เช่า,ขาย,ทำเล,สถานี,ต้นทาง,เจ้าของ,ที่โพสต์,เพจ,หมายเหตุ
PTP5975,ชีท,14/11/2025,Life @ Sathorn 10 (ไลฟ์ แอด สาทร 10),คอนโด,1 Bed 1 Bath,41,26-27,"20,000",,"สาทร, สีลม","BTS ช่องนนทรี, BTS สุรศักดิ์, BTS ศาลาแดง",https://www.livinginsider.com/istockdetail/DIoooI_beeoffD.html,,https://www.facebook.com/share/p/17ajHHE2ii/?mibextid=wwXIfr,https://www.facebook.com/share/p/1APdzntcAN/?mibextid=wwXIfr,
PTP5974,ชีท,14/11/2025,Mayfair Place Sukhumvit 64 (เมย์แฟร์ เพลส สุขุมวิท 64),คอนโด,2 Bed 1 Bath,58.6,,"28,000","5,800,000","อ่อนนุช, อุดมสุข, ปุณณวิถี","BTS ปุณณวิถี, BTS อุดมสุข",https://www.facebook.com/share/p/1FqffWZvU6/?mibextid=wwXIfr,,https://www.facebook.com/share/14MziJisSA5/?mibextid=wwXIfr,https://www.facebook.com/share/p/19MrknqWHc/?mibextid=wwXIfr,
PTP5973,ชีท,14/11/2025,Villa Sathorn (วิลล่า สาทร),คอนโด,Studio,40,7,"16,000",,"เจริญนคร, วงเวียนใหญ่","BTS กรุงธนบุรี, BTS เจริญนคร, BTS วงเวียนใหญ่",https://www.facebook.com/share/p/17aa1Co3pM/,https://www.facebook.com/nuntawan.busarawong.3/,https://www.facebook.com/share/p/1BdnXyEJrM/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Honk7Kx2u/?mibextid=wwXIfr,Villa Sathorn
PTP5972,ชีท,14/11/2025,Ravipa Village (รวิภา วิลเลจ),บ้าน,4 Bed 5 Bath,,4,"42,000",,อุดมสุข,BTS อุดมสุข,https://www.facebook.com/share/p/1AGEaUwm68/,https://www.facebook.com/ratchaneewan.duangsri/,https://www.facebook.com/share/p/14PArc5YWvB/?mibextid=wwXIfr,https://www.facebook.com/share/p/16ec63BhqT/?mibextid=wwXIfr,Ravipa Village
PTP5971,ชีท,14/11/2025,Regent home bangna (รีเจ้นท์ โฮม บางนา),คอนโด,1 Bed 1 Bath,28,25,"11,000",,บางนา,BTS บางนา,https://www.facebook.com/share/p/1PoqEpc6nu/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1AoHavecs8/?mibextid=wwXIfr,https://www.facebook.com/share/p/1D5PTHjbBc/?mibextid=wwXIfr,
PTP5970,ชีท,14/11/2025,The President Sukhumvit 81 (เดอะ เพรสซิเดนท์ สุขุมวิท 81),คอนโด,1 Bed 1 Bath,35,15,"22,000",,"อ่อนนุช, อุดมสุข, บางจาก","BTS อ่อนนุช, BTS บางจาก",https://www.livinginsider.com/istockdetail/DIoooI_CIybyDj.html,,https://www.facebook.com/share/p/16fnJxm96e/?mibextid=wwXIfr,https://www.facebook.com/share/p/17URoMZUY6/?mibextid=wwXIfr,
PTP5969,ชีท,14/11/2025,Magnolias Waterfront Residences (แมกโนเลียส์ วอเตอร์ฟรอนท์ เรสซิเดนซ์),คอนโด,2 Bed 2 Bath,102,8,"110,000",,"เจริญนคร, วงเวียนใหญ่, สาทร","BTS เจริญนคร, BTS กรุงธนบุรี, BTS สะพานตากสิน",https://www.facebook.com/share/p/1huqiFQS4g/?mibextid=wwXIfr,,https://www.facebook.com/share/p/14RJfqdFezq/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BdeyTH7Rj/?mibextid=wwXIfr,
PTP5968,ชีท,14/11/2025,Life Ladprao Valley (ไลฟ์ ลาดพร้าว แวลลีย์),คอนโด,Studio,29,26,"19,000",,ลาดพร้าว,"BTS ห้าแยกลาดพร้าว, MRT พหลโยธิน, BTS พหลโยธิน 24",https://www.livinginsider.com/istockdetail/DIoooI_CIDIfjI.html,,https://www.facebook.com/share/p/1Bg4QfZ93B/?mibextid=wwXIfr,https://www.facebook.com/share/p/16U9KrH22t/?mibextid=wwXIfr,
PTP5967,ชีท,13/11/2025,Onyx Home at Ladprao-Nakniwat (ออนิกซ์ โฮม ลาดพร้าว–นาคนิวาส),บ้าน,4 Bed 5 Bath,206,3,,"6,790,000","ลาดพร้าว, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร",https://www.livinginsider.com/istockdetail/DIoooI_bjbyfeI.html,,https://www.facebook.com/share/p/17SkeRUT1v/?mibextid=wwXIfr,https://www.facebook.com/share/p/1FhLKFcrgF/?mibextid=wwXIfr,
PTP5966,ชีท,13/11/2025,Life One Wireless (ไลฟ์ วัน ไวร์เลส),คอนโด,2 Bed 2 Bath,63,15,"50,000",,"วิทยุ, ชิดลม, หลังสวน, เพลินจิต","BTS เพลินจิต, BTS ชิดลม, ARL ราชปรารภ",https://www.facebook.com/share/16kUpTaieP/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1FMaeGSjw1/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BWkn4QSAv/?mibextid=wwXIfr,
PTP5965,ชีท,13/11/2025,Rhythm Asoke (ริทึ่ม อโศก),คอนโด,1 Bed 1 Bath,23,28,"14,500",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, มักกะสัน","MRT พระราม 9, ARL มักกะสัน, MRT เพชรบุรี",https://www.facebook.com/share/19uvEupJ6j/?mibextid=wwXIfr,,https://www.facebook.com/share/p/17X1CGPYRj/?mibextid=wwXIfr,https://www.facebook.com/share/p/1FiebAhWgb/?mibextid=wwXIfr,
PTP5964,ชีท,13/11/2025,Centric Sathorn – St. Louis (เซ็นทริค สาทร – เซนต์หลุยส์),คอนโด,1 Bed 1 Bath,41.29,9,,"5,600,000","สาทร, ลุมพินี","BTS ช่องนนทรี, BTS สุรศักดิ์, MRT ลุมพินี",https://www.facebook.com/share/1A7RKW3sBL/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1FTtgiyrSF/?mibextid=wwXIfr,https://www.facebook.com/share/p/1CVmo9qr7n/?mibextid=wwXIfr,
PTP5963,ชีท,13/11/2025,Noble Solo (โนเบิล โซโล),คอนโด,1 Bed 1 Bath,35,10,,"4,500,000","ทองหล่อ, อโศก, สุขุมวิท",BTS ทองหล่อ,https://www.livinginsider.com/istockdetail/DIoooI_CIybCyg.html,,https://www.facebook.com/share/p/162jUmhe4o/?mibextid=wwXIfr,https://www.facebook.com/share/p/1AncmLzoq8/?mibextid=wwXIfr,
PTP5962,ชีท,13/11/2025,Vtara Sukhumvit 36 (วีธารา สุขุมวิท 36),คอนโด,1 Bed 1 Bath,30,,,"4,290,000","ทองหล่อ, อโศก, สุขุมวิท, พร้อมพงษ์","BTS พร้อมพงษ์, BTS ทองหล่อ",https://www.livinginsider.com/istockdetail/DIoooI_CIybegf.html,,https://www.facebook.com/share/p/16xmRHnjVX/?mibextid=wwXIfr,https://www.facebook.com/share/p/17BYF4FdRU/?mibextid=wwXIfr,
PTP5961,ชีท,13/11/2025,Raintree Villa (เรนทรี วิลล่า),คอนโด,1 Bed 1 Bath,30,2,"14,000",,"ทองหล่อ, อโศก, สุขุมวิท, เพลินจิต, นานา","BTS เพลินจิต, BTS นานา, BTS ราชดำริ",https://www.facebook.com/share/1AMAJLnBLd/?mibextid=wwXIfr,,https://www.facebook.com/share/p/16XdwiiNQD/?mibextid=wwXIfr,https://www.facebook.com/share/p/1G8FV7PEua/?mibextid=wwXIfr,
PTP5960,ชีท,13/11/2025,Baan Thitiporn (บ้านฐิติพร),บ้าน,3 Bed 3 Bath,30,3,,"7,500,000","พัฒนาการ ศรีนครินทร์, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร",https://www.livinginsider.com/istockdetail/DIoooI_CefejfC.html,,https://www.facebook.com/share/p/1AELkfX36Q/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BS9v7X2HL/?mibextid=wwXIfr,
PTP5959,ชีท,13/11/2025,Niche Mono Charoen Nakhon (นิช โมโน เจริญนคร),คอนโด,2 Bed 1 Bath,50,25,"27,000",,"เจริญนคร, วงเวียนใหญ่","BTS ตลาดพลู, BTS กรุงธนบุรี, BTS เจริญนคร",https://www.livinginsider.com/istockdetail/DIoooI_CfDCCDf.html,,https://www.facebook.com/share/p/1CwZtPH5E1/?mibextid=wwXIfr,https://www.facebook.com/share/p/1A5qtvUB4T/?mibextid=wwXIfr,
PTP5958,ชีท,13/11/2025,Premio Unic Ekkamai-Ramintra (พรีมิโอ ยูนิค เอกมัย-รามอินทรา),คอนโด,2 Bed 1 Bath,45,,"25,000","4,590,000","เลียบทางด่วนรามอินทรา, เอกมัย, ทองหล่อ","BTS เอกมัย, BTS ทองหล่อ",https://www.livinginsider.com/istockdetail/DIoooI_CIfeIoy.html,,https://www.facebook.com/share/p/16gPCo5eN1/?mibextid=wwXIfr,https://www.facebook.com/share/p/1FnV3NXLWg/?mibextid=wwXIfr,
PTP5957,ชีท,13/11/2025,The Sky Sukhumvit (เดอะ สกาย สุขุมวิท),คอนโด,1 Bed 1 Bath,35,8,"18,000",,"อ่อนนุช, อุดมสุข, บางนา","BTS อุดมสุข, BTS บางนา",https://www.facebook.com/share/p/17dvGHJStJ/?mibextid=wwXIfr,,https://www.facebook.com/share/p/17gJZmkA7b/?mibextid=wwXIfr,https://www.facebook.com/share/p/17sBZvCnoM/?mibextid=wwXIfr,
PTP5956,ชีท,13/11/2025,M Thonglor 10 (เอ็ม ทองหล่อ 10),คอนโด,1 Bed 1 Bath,31,,,"4,250,000","ทองหล่อ, อโศก, สุขุมวิท, เอกมัย",BTS เอกมัย,https://www.facebook.com/share/p/1Q9iuKvQfp/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1DHVt3GSEC/?mibextid=wwXIfr,https://www.facebook.com/share/p/1AU6PEo6T6/?mibextid=wwXIfr,
