name,url,zone_tags,offer_tags,price_band,notes
(20+) คอนโดใกล้ เกษตร รัชโยธิน เสนานิคม วังหิน รัชวิภา บางเขน สะพานใหม่ BY CondoP,https://www.facebook.com/groups/184075664642325,,condo,,
(20+) คอนโดใกล้ เกษตร ศรีปทุม สะพานใหม่ รัชโยธิน ลาดพร้าว ราคาถูกV.1,https://www.facebook.com/groups/1016064993210612,ladprao,condo,,
(20+) คอนโดใกล้รถไฟฟ้า (Condo in BTS/MRT zone)​,https://www.facebook.com/groups/1038977796533556,,condo,,
(20+) คอนโดให้เช่า One9Five Asoke-Rama9 เช่าคอนโดพระราม9-อโศก (ติด Mrt รถไฟฟ้า),https://www.facebook.com/groups/196479956793106,"rama9,asoke","rent,condo",,
(20+) คอนโดให้เช่า ทองหล่อ,https://www.facebook.com/groups/1466979060382436,thonglor,"rent,condo",,
(20+) คอนโดให้เช่า บางนา,https://www.facebook.com/groups/2934705793512328,bangna,"rent,condo",,
(20+) คอนโดให้เช่า บ้านเช่า รามอินทรา นวมินทร์ ลาดพร้าว มีนบุรี,https://www.facebook.com/groups/1781082028899196,ladprao,"rent,condo,house",,
(20+) คอนโดให้เช่า พระราม 9,https://www.facebook.com/groups/854552138588498,rama9,"rent,condo",,
(20+) คอนโดให้เช่า รามอินทรา,https://www.facebook.com/groups/880452875999582,,"rent,condo",,
(20+) คอนโดให้เช่า สุขุมวิท,https://www.facebook.com/groups/529020221621517,sukhumvit,"rent,condo",,
(20+) คอนโดให้เช่า อ่อนนุช,https://www.facebook.com/groups/1613933658799899,onnut,"rent,condo",,
(20+) คอนโดให้เช่า/ขาย ใกล้BTS/MRTกรุงเทพ-ปริมณฑล,https://www.facebook.com/groups/1369465206534724,bangkok,"rent,sale,condo",,
(20+) คอนโดให้เช่าฝั่งธน ใกล้ BTS MRT บางแค บางหว้า ตลาดพลู วุฒากาศ วงเวียนใหญ่,https://www.facebook.com/groups/388594476619201,,"rent,condo",,
(20+) คอนโดให้เช่าสุขุมวิท อ่อนนุช พระโขนง บางจาก ปุณณวิถี อุดมสุข,https://www.facebook.com/groups/1192821072057945,"onnut,sukhumvit,bangna","rent,condo",,
(20+) คอนโดให้เช่าใกล้ Bts Mrt,https://www.facebook.com/groups/817310586032893,,"rent,condo",,
(20+) คอนโดให้เช่าใกล้จุฬา สามย่าน ราชเทวี พญาไท,https://www.facebook.com/groups/874685616710008,phayathai,"rent,condo",,
(20+) ซื้อ ขาย คอนโดให้เช่า ประกาศขายคอนโด คอนโดมือสอง ใกล้รถไฟฟ้าbts mrt,https://www.facebook.com/groups/1220390754677911,,"rent,sale,condo",,
(20+) ซื้อ ขาย ปล่อยเช่า บ้าน กรุงเทพและปริมณฑล เท่านั้น,https://www.facebook.com/groups/2116119028696464,bangkok,"rent,sale,house",,
"(20+) ซื้อ ขาย เช่า / คอนโด,บ้าน (กรุงเทพมหานคร)",https://www.facebook.com/groups/691539337669985,bangkok,"rent,sale,condo,house",,
(20+) ซื้อ ขาย เช่า คอนโด BTS อ่อนนุช [ ONNUT CONDO ],https://www.facebook.com/groups/1041678552942187,onnut,"rent,sale,condo",,
(20+) ซื้อ ขาย เช่า คอนโด กรุงเทพและปริมณฑล,https://www.facebook.com/groups/211520586207563,bangkok,"rent,sale,condo",,
(20+) ซื้อ ขาย เช่า คอนโด ทาวน์เฮ้าส์ มือสอง บางจาก อุดมสุข บางนา ลาซาล สำโรง,https://www.facebook.com/groups/183707662357525,bangna,"rent,sale,condo,house",,
(20+) ซื้อ ขาย เช่า คอนโด บ้านเช่า ทั่วไทย,https://www.facebook.com/groups/1452723328280933,,"rent,sale,condo,house",,
